dataset,optimizer,init_mode,activation,dropout_rate,batch_size,neurons,classes,input neurons,output_name,best_model,Comment,Order
adult,Adam,uniform,tanh,0,128,16,2,14,class,4,,8
avila,RMSprop,he_uniform,relu,0,16,32,12,10,class,2,Done,4
bank,Adamax,normal,softplus,0.1,16,32,2,20,class,1,,7
chess,SGD,lecun_uniform,softplus,0,8,24,18,5,class,5,Done,5
connect-4,SGD,he_uniform,softmax,0,8,8,3,42,class,2,,10
cover_type,Nadam,normal,hard_sigmoid,0,256,64,7,54,class,1,,15
credit_card_default,Nadam,lecun_uniform,relu,0,64,32,2,23,class,1,Done,6
eeg_eye_states,Adadelta,glorot_uniform,softsign,0,1,32,2,14,class,1,Done,1
htru,RMSprop,normal,softsign,0.2,16,4,2,8,class,5,Done,11
letter_recognition,RMSprop,glorot_uniform,linear,0,64,16,26,16,class,4,Done,12
occupancy,RMSprop,zero,sigmoid,0.3,64,2,2,5,class,2,Done,2
online_shoppers_intention,Nadam,normal,tanh,0.5,64,8,2,17,class,1,Done,3
person_activity,RMSprop,lecun_uniform,tanh,0,256,256,11,4,class,3,,13
shuttle,RMSprop,he_uniform,softsign,0,32,4,7,9,class,3,Done,9
skin_nonskin,Adamax,he_uniform,softsign,0.4,16,3,2,3,class,2,Done,14
